ID,Leaf.1.adjusted,Leaf.2.adjusted,Leaf.3.adjusted,neg_recip_L1_adj,neg_recip_L2_adj,neg_recip_L3_adj,Internode_1_day_21,Internode_2_day_21,Internode_3_day_21,Height_mm_day_21,Number_leaves_day_21,Day_germ,Ever_flowered,more_than_one_flower_per_day,flowers_per_day_greater_than_one,more_than_one_flower_on_cyme,flowers_per_cyme_greater_than_one,TwoOrMore,ThreeOrMore,Color_numeric,Cyme_length,flowers_per_day,Flowers_buds_on_cymepeduncle,Cor_Length,Cor_tissue_Length,Cor_Width,L_over_W,LV_over_L,Style_Length,Anther_stigma_position,Nectar.volume.uL,LnNectaruLPlusOne,n_flowers,Pollen_per_flower,avg.number,avg.size,Sterility
F2_001,8,10,12,-0.125,-0.1,-0.0833333333333333,9,12,78,672,12,166.5,1,0,NA,1,1.25,1,1,1,17.725,1,1.25,26.05,29.625,20.225,1.30719359639156,1.13637483352283,15.9,0,0.216769893097696,0.196199718969214,4,NA,NA,NA,0
F2_002,8,10,12,-0.125,-0.1,-0.0833333333333333,11,13,70,885,15,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_003,8,9,12,-0.125,-0.111111111111111,-0.0833333333333333,9,6,28,741,9,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_004,8,10,12,-0.125,-0.1,-0.0833333333333333,11,13,66,599,13,74,1,0,NA,0,NA,0,0,1,27,1,1,28,33,24,1.16666666666667,1.17857142857143,18,0,0,0,1,NA,NA,NA,0
F2_005,10,10,16,-0.1,-0.1,-0.0625,1,7,6,42,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_006,8,10,12,-0.125,-0.1,-0.0833333333333333,10,18,79,716,13,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_007,8,10,12,-0.125,-0.1,-0.0833333333333333,9,8,56,836,10,143.5,1,1,1.25,1,2.75,1,1,1,25.825,1.25,2.75,24.8,29,20.3,1.22594672331627,1.17124809195336,15.525,0,0.263893782901543,0.234197259679134,4,NA,NA,NA,0
F2_008,8,10,12,-0.125,-0.1,-0.0833333333333333,8,8,54,617,6,171.2,1,1,1.4,1,1.2,1,1,1,21.34,1.4,1.2,27.62,32.96,24.42,1.13143207683693,1.19332762974373,16,0.1,0.510194646942982,0.412238547779517,5,NA,NA,NA,0
F2_009,8,10,12,-0.125,-0.1,-0.0833333333333333,12,12,98,928,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_010,8,10,12,-0.125,-0.1,-0.0833333333333333,10,10,69,561,11,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_011,8,10,12,-0.125,-0.1,-0.0833333333333333,11,7,52,684,14,150.2,1,0,NA,1,1.2,1,1,1,21.58,1,1.2,29.92,34.1,22.88,1.31446363795198,1.13997995145942,16.46,0,1.0530618574833,0.71933226787188,5,NA,NA,NA,0
F2_012,8,9,12,-0.125,-0.111111111111111,-0.0833333333333333,8,8,50,664,15,148,1,0,NA,0,NA,0,0,1,28.7,1,1,29.5,32.6,21.8,1.35321100917431,1.10508474576271,17,0,0,0,1,NA,NA,NA,0
F2_013,8,10,12,-0.125,-0.1,-0.0833333333333333,6,8,38,907,9,77.3333333333333,1,0,NA,1,1.66666666666667,1,1,1,22.2,1,1.66666666666667,26.6333333333333,32.35,21.2333333333333,1.25584059915046,1.1799707213202,16.6,0,0.0628318530717959,0.0609369053537217,3,NA,NA,NA,0
F2_014,9,10,12,-0.111111111111111,-0.1,-0.0833333333333333,9,10,45,423,7,158,1,0,NA,0,NA,0,0,1,15.7,1,1,29.2,33,21.8,1.3394495412844,1.13013698630137,18.6,0.5,0,0,1,NA,NA,NA,0
F2_015,8,10,13,-0.125,-0.1,-0.0769230769230769,6,6,54,376,8,75.2857142857131,1,1,1.14285714285714,1,1.71428571428571,1,1,1,20.0142857142857,1.14285714285714,1.71428571428571,24.7285714285714,28.8166666666667,20.6714285714286,1.2038047846895,1.17543362614894,16.7428571428571,0,0.075398223686155,0.0726910336217166,7,196.25,195.5,69.54264217,0
F2_016,8,10,12,-0.125,-0.1,-0.0833333333333333,11,14,72,462,6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_017,8,10,12,-0.125,-0.1,-0.0833333333333333,8,5,47,419,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
F2_018,8,10,12,-0.125,-0.1,-0.0833333333333333,8,10,48,380,7,121.666666666667,1,0,NA,1,1.66666666666667,1,1,1,24.5,1,1.66666666666667,25.4666666666667,30.1,20.3333333333333,1.25243301732394,1.18276560788609,17.1333333333333,0,0.0712094334813687,0.0687883218173715,3,NA,NA,NA,0
F2_019,8,10,12,-0.125,-0.1,-0.0833333333333333,7,5,52,510,8,112,1,0,NA,0,NA,1,1,1,18.55,1,1,27.95,32.8666666666667,22.75,1.23101044463091,1.1490443236118,15.35,0,0.380132711084365,0.322179661997759,4,NA,NA,NA,0
