Class,Species,ID, Opening, Color,Peduncle length,Flowers/buds on peduncle,internode below, Cor. Length, Cor. Width, Anther/stigma position, Anther length 1, Anther length 2, Anther length 3, Anther length 4, Anther length 5, Anther length avg., Stigma Length, Nectar volume
cordatotriloba_f,cordatotriloba,C08',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C10',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C12',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C13',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C15',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C16',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C23',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C28',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C03',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C30',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C33',86,1,6,1,104,31,30,-1,16,15,15,16,15,,15,1
cordatotriloba_f,cordatotriloba,C34',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C35',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C36',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C38',82,1,12,1,,27,25,0,16,15,17,16,15,,16,0
cordatotriloba_f,cordatotriloba,C38',84,1,6,1,,28,22,0,14,15,16,14,14,,16,1.5
cordatotriloba_f,cordatotriloba,C42',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C43',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C44',84,1,8,1,52,26,26,0,12,16,14,12,,,16,1
cordatotriloba_f,cordatotriloba,C46',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C56',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C60',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C62',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C63',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C66',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C68',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C69',93,1,6,1,52,32,25,0,15,12,14,14,16,,16,2
cordatotriloba_f,cordatotriloba,C70',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C71',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C74',92,1,15,1,55,25,24,0,15,12,12,15,13,,14,1
cordatotriloba_f,cordatotriloba,C76',92,1,13,1,78,34,27,0,15,16,15,14,,,15,0
cordatotriloba_f,cordatotriloba,C78',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C79',84,1,9,1,12,29,23,-0.5,12,15,16,13,14,,15,0.5
cordatotriloba_f,cordatotriloba,C80',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C81',89,1,3,1,54,23,25,0,13,15,15,13,15,,13,0
cordatotriloba_f,cordatotriloba,C82',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C83',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C84',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C87',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C88',82,1,5,1,43,28,25,-1,15,13,18,16,14,,13,2
cordatotriloba_f,cordatotriloba,C88',83,1,4,1,41,26,27,-1,15,12,16,13,14,,14,0.5
cordatotriloba_f,cordatotriloba,C88',85,1,4,1,42,29,26,-0.5,15,13,16,15,13,,15,2
cordatotriloba_f,cordatotriloba,C88',85,1,4,1,22,29,25,-0.5,15,15,14,16,14,,15,0
cordatotriloba_f,cordatotriloba,C90',83,1,13,1,94,27,21,-1,19,14,14,16,15,,12,1
cordatotriloba_f,cordatotriloba,C91',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C92',95,1,9,1,91,28,24,-1,15,15,14,14,16,,12,0
cordatotriloba_f,cordatotriloba,C93',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C94',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C95',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,C99',,,,,,,,,,,,,,,,
cordatotriloba_f,cordatotriloba,L75*',,,,,,,,,,,,,,,,
cordatotriloba_p,cordatotriloba,C101,,,,,,,,,,,,,,,,
cordatotriloba_p,cordatotriloba,C102,,,,,,,,,,,,,,,,
cordatotriloba_p,cordatotriloba,C103,83,1,12,1,,32,19,-0.5,17,15,17,18,17,,16,6
cordatotriloba_p,cordatotriloba,C103,84,1,7,1,,29,24,-0.5,16,14,15,17,13,,15,1.5
cordatotriloba_p,cordatotriloba,C103,86,1,20,2,80,28,30,-1,16,14,18,15,15,,16,5
cordatotriloba_p,cordatotriloba,C103,89,1,16,2,,29,19,0,15,18,15,17,15,,17,5
cordatotriloba_p,cordatotriloba,C103,93,1,12,3,74,30,28,0,16,15,13,16,15,,17,0.5
