Class,Species,ID,Tray,Rack,Shelf,Germination date,Germination Day,Cotyledon date,Cotyledon day,Height_mm_day_07,Height_mm_day_14,Internode_1_day_14,Internode_2_day_14,Internode_3_day_14,Height_mm_day_21,Internode_1_day_21,Internode_2_day_21,Internode_3_day_21,Number_leaves_day_23,Leaf 1 open,Leaf 2 open,Leaf 3 open,Flower 1 Open
cordatotriloba_f,cordatotriloba,C23',1,1,2,1-Aug,1,,,32,37,4,2,2,327,5,5,30,8,12,14,17,
cordatotriloba_f,cordatotriloba,C81',1,1,2,1-Aug,1,,,29,44,5,3,3,370,6,6,21,9,11,14,17,
cordatotriloba_f,cordatotriloba,C88',1,1,2,1-Aug,1,,,30,42,4,3,1,255,5,7,21,7,12,15,18,67
cordatotriloba_f,cordatotriloba,C30',2,2,3,1-Aug,1,12-Aug,12,0,27,1,0,0,41,2,4,2,2,19,21,24,
cordatotriloba_f,cordatotriloba,C71',2,2,3,1-Aug,1,8-Aug,8,15,36,3,1,1,238,4,9,32,7,14,16,19,
cordatotriloba_f,cordatotriloba,C76',2,2,3,1-Aug,1,6-Aug,6,22,35,5,2,0,240,8,10,45,5,14,16,19,
cordatotriloba_f,cordatotriloba,C34',3,2,3,,,,,29,54,2,1,0,159,5,4,25,6,13,16,19,
cordatotriloba_f,cordatotriloba,C38',3,2,3,2-Aug,2,7-Aug,7,20,39,5,3,1,326,6,6,34,6,13,15,18,
cordatotriloba_f,cordatotriloba,C44',3,2,3,1-Aug,1,,,31,43,4,2,1,237,9,4,14,7,12,17,18,
cordatotriloba_f,cordatotriloba,C66',3,2,3,2-Aug,2,,,0,29,0,0,0,37,2,0,0,2,18,23,29,
cordatotriloba_f,cordatotriloba,C79',3,2,3,1-Aug,1,,,0,32,2,0,0,42,4,4,3,3,15,18,23,
cordatotriloba_f,cordatotriloba,L75*',3,2,3,1-Aug,1,,,0,37,2,0,0,63,4,3,5,4,14,17,20,
cordatotriloba_f,cordatotriloba,C33',4,2,3,1-Aug,1,6-Aug,6,20,56,7,6,15,656,7,10,36,10,11,13,15,
cordatotriloba_f,cordatotriloba,C69',4,2,3,1-Aug,1,5-Aug,5,21,57,7,3,1,393,14,13,39,7,16,17,18,
cordatotriloba_f,cordatotriloba,C63',5,2,3,1-Aug,1,5-Aug,5,28,74,7,6,15,417,9,9,31,15,10,12,15,
cordatotriloba_f,cordatotriloba,C74',5,2,3,1-Aug,1,,,30,42,4,2,0,160,5,3,11,5,12,15,19,
cordatotriloba_f,cordatotriloba,C84',5,2,3,1-Aug,1,8-Aug,8,25,42,6,2,2,391,7,8,37,6,13,15,18,
cordatotriloba_f,cordatotriloba,C94',5,2,3,2-Aug,2,,,0,44,1,0,0,64,5,2,11,3,15,18,22,
cordatotriloba_f,cordatotriloba,C99',5,2,3,2-Aug,2,,,36,53,3,1,0,204,5,4,24,7,13,15,19,
cordatotriloba_f,cordatotriloba,C12',7,3,3,2-Aug,2,6-Aug,6,29,96,6,8,24,713,8,9,38,23,11,12,14,
cordatotriloba_f,cordatotriloba,C82',7,3,3,2-Aug,2,,,25,37,4,2,3,422,6,4,24,10,12,13,16,
cordatotriloba_f,cordatotriloba,C03',8,3,3,1-Aug,1,,,35,58,4,2,2,422,6,5,17,10,11,13,17,
cordatotriloba_f,cordatotriloba,C35',8,3,3,2-Aug,2,5-Aug,5,31,138,8,9,35,387,6,9,33,16,10,12,14,
cordatotriloba_f,cordatotriloba,C36',8,3,3,1-Aug,1,,,32,110,6,7,25,748,8,6,30,15,11,12,14,
cordatotriloba_f,cordatotriloba,C68',8,3,3,2-Aug,2,6-Aug,6,27,76,8,6,15,268,7,10,29,11,11,12,15,
cordatotriloba_f,cordatotriloba,C70',8,3,3,1-Aug,1,10-Aug,10,37,51,4,3,6,572,6,5,22,12,12,14,16,
cordatotriloba_f,cordatotriloba,C95',8,3,3,1-Aug,1,,,44,62,4,3,9,382,7,14,44,15,10,12,14,
cordatotriloba_f,cordatotriloba,C10',9,3,3,2-Aug,2,6-Aug,6,29,69,7,8,12,342,9,9,40,16,12,13,15,
cordatotriloba_f,cordatotriloba,C42',10,1,3,1-Aug,1,,,41,49,2,2,1,221,5,5,25,6,13,15,19,
cordatotriloba_f,cordatotriloba,C56',10,1,3,1-Aug,1,,,7,27,2,1,0,60,4,3,13,3,14,18,22,
cordatotriloba_f,cordatotriloba,C91',10,1,3,2-Aug,2,,,42,47,4,2,1,346,6,8,31,8,13,15,19,
cordatotriloba_f,cordatotriloba,C15',11,1,3,2-Aug,2,,,0,42,1,1,0,83,4,3,15,3,16,19,22,
cordatotriloba_f,cordatotriloba,C16',11,1,3,1-Aug,1,,,34,46,4,1,1,199,11,13,33,5,12,15,19,
cordatotriloba_f,cordatotriloba,C43',11,1,3,1-Aug,1,7-Aug,7,24,41,3,2,1,427,4,6,32,10,12,14,17,
cordatotriloba_f,cordatotriloba,C60',11,1,3,2-Aug,2,8-Aug,8,23,42,3,1,0,325,6,7,39,5,14,16,19,
cordatotriloba_f,cordatotriloba,C80',11,1,3,1-Aug,1,6-Aug,6,26,39,5,4,3,547,7,12,43,13,12,14,17,
cordatotriloba_f,cordatotriloba,C46',12,1,3,1-Aug,1,7-Aug,7,19,47,5,4,3,527,8,11,47,9,13,15,17,
cordatotriloba_f,cordatotriloba,C62',12,1,3,1-Aug,1,,,41,45,3,2,2,356,6,9,31,7,12,14,18,
cordatotriloba_f,cordatotriloba,C78',12,1,3,2-Aug,2,11-Aug,11,0,15,1,0,0,42,4,4,11,3,17,20,23,
cordatotriloba_f,cordatotriloba,C87',12,1,3,1-Aug,1,,,36,41,4,2,1,287,7,7,26,7,12,15,19,
cordatotriloba_f,cordatotriloba,C90',12,1,3,1-Aug,1,6-Aug,6,29,67,7,7,12,619,10,12,54,11,12,13,16,
cordatotriloba_f,cordatotriloba,C08',13,1,2,1-Aug,1,,,34,44,4,3,2,430,6,5,22,8,12,14,17,
cordatotriloba_f,cordatotriloba,C13',13,1,2,1-Aug,1,,,25,44,2,1,0,196,6,6,17,4,14,16,19,
cordatotriloba_f,cordatotriloba,C28',13,1,2,1-Aug,1,,,26,37,3,1,0,189,6,4,13,6,13,16,19,
cordatotriloba_f,cordatotriloba,C83',13,1,2,2-Aug,2,8-Aug,8,0,34,4,1,1,402,7,8,35,9,14,15,18,
cordatotriloba_f,cordatotriloba,C92',13,1,2,2-Aug,2,8-Aug,8,37,51,4,3,5,606,5,6,28,10,12,14,16,
cordatotriloba_f,cordatotriloba,C93',13,1,2,2-Aug,2,7-Aug,7,26,45,4,2,1,427,9,9,42,8,13,15,18,
cordatotriloba_p,cordatotriloba,C103,1,1,2,2-Aug,2,,,34,44,3,2,1,207,5,4,19,8,12,14,18,
cordatotriloba_p,cordatotriloba,C105,2,2,3,1-Aug,1,7-Aug,7,25,45,6,6,3,364,6,17,51,7,13,15,18,
cordatotriloba_p,cordatotriloba,C107,4,2,3,1-Aug,1,5-Aug,5,25,85,6,8,20,647,6,8,29,16,10,13,14,
cordatotriloba_p,cordatotriloba,C111,4,2,3,1-Aug,1,,,25,44,4,1,0,153,6,3,16,5,13,16,20,
cordatotriloba_p,cordatotriloba,C109,6,3,3,1-Aug,1,,,0,34,2,0,0,49,4,3,4,3,16,19,23,
cordatotriloba_p,cordatotriloba,C102,7,3,3,1-Aug,1,6-Aug,6,29,103,8,7,22,720,10,10,32,23,12,12,14,
cordatotriloba_p,cordatotriloba,C106,8,3,3,1-Aug,1,5-Aug,5,22,80,9,8,20,659,9,10,37,15,10,12,15,
cordatotriloba_p,cordatotriloba,C104,9,3,3,1-Aug,1,6-Aug,6,26,59,6,6,9,638,8,9,34,14,12,14,16,
cordatotriloba_p,cordatotriloba,C108,9,3,3,1-Aug,1,,,45,49,4,3,3,414,5,4,22,9,11,13,17,
cordatotriloba_p,cordatotriloba,C110,9,3,3,1-Aug,1,6-Aug,6,25,66,5,6,12,367,8,8,31,14,12,13,15,
cordatotriloba_p,cordatotriloba,C101,11,1,3,1-Aug,1,,,0,26,0,0,0,41,4,2,1,2,18,21,24,
F1_f,F1,C93L15_1,1,1,2,1-Aug,1,,,28,41,5,2,0,254,6,4,32,5,12,15,19,
F1_f,F1,C93L15_3,1,1,2,2-Aug,2,8-Aug,8,19,49,8,6,2,446,11,19,101,7,13,15,18,
F1_f,F1,C14L95_1,4,2,3,1-Aug,1,4-Aug,4,32,106,10,16,35,846,11,19,83,17,11,13,15,58
F1_f,F1,C14L95_2,5,2,3,2-Aug,2,6-Aug,6,36,73,10,12,9,416,11,21,89,7,12,14,17,
F1_f,F1,C90L34_1,5,2,3,1-Aug,1,,,24,47,3,1,0,250,6,7,45,4,14,17,20,
F1_f,F1,C93L15_2,7,3,3,1-Aug,1,,,40,113,9,7,32,417,10,7,44,18,11,12,14,
F1_p,F1,CL6,1,1,2,1-Aug,1,,,41,49,8,6,4,629,10,17,74,5,12,15,17,
F1_p,F1,CL2,2,2,3,1-Aug,1,5-Aug,5,27,45,9,6,3,627,10,24,109,4,13,15,19,
F1_p,F1,CL7,2,2,3,1-Aug,1,6-Aug,6,26,47,11,7,3,689,12,30,105,8,13,15,18,
F1_p,F1,CL4,4,2,3,1-Aug,1,4-Aug,4,34,167,11,17,65,697,12,19,88,20,10,13,15,58
F1_p,F1,CL1,7,3,3,1-Aug,1,14-Aug,14,49,65,10,13,7,577,11,21,71,6,12,15,17,
F1_p,F1,CL3,8,3,3,1-Aug,1,5-Aug,5,36,269,10,17,88,763,10,18,87,18,11,12,14,
F1_p,F1,CL5,12,1,3,1-Aug,1,5-Aug,5,25,65,9,9,6,694,12,26,90,10,12,15,18,
lacunosa_f,lacunosa,L89',1,1,2,1-Aug,1,,,45,67,8,5,4,473,8,9,51,6,12,15,17,68
lacunosa_f,lacunosa,L28',2,2,3,1-Aug,1,6-Aug,6,35,57,12,5,1,617,19,46,108,5,14,17,19,
lacunosa_f,lacunosa,L32',3,2,3,1-Aug,1,8-Aug,8,30,43,6,2,0,456,12,20,77,5,14,17,19,
lacunosa_f,lacunosa,L36',5,2,3,1-Aug,1,,,33,44,3,1,0,191,4,5,38,4,13,17,20,
lacunosa_f,lacunosa,L16',6,3,3,2-Aug,2,8-Aug,8,15,51,9,3,1,375,14,24,80,4,14,17,19,
lacunosa_f,lacunosa,C75*',6,3,3,2-Aug,2,12-Aug,12,0,33,0,0,0,66,16,13,9,2,20,23,24,
lacunosa_f,lacunosa,L84',7,3,3,1-Aug,1,6-Aug,6,34,133,11,20,44,414,11,23,78,15,12,13,15,
lacunosa_f,lacunosa,L01',9,3,3,,,,,37,63,5,2,0,417,11,17,81,4,14,17,20,
lacunosa_f,lacunosa,L96',9,3,3,1-Aug,1,8-Aug,8,33,47,4,1,0,403,11,22,64,6,15,17,20,
lacunosa_f,lacunosa,L70',10,1,3,2-Aug,2,,,39,44,3,1,0,178,6,7,48,3,15,18,21,
lacunosa_f,lacunosa,L94',13,1,2,1-Aug,1,6-Aug,6,33,98,12,14,27,860,14,20,84,10,12,14,16,
lacunosa_p,lacunosa,L120,1,1,2,1-Aug,1,10-Aug,10,0,37,2,0,0,231,17,29,74,4,17,19,21,
lacunosa_p,lacunosa,L135,1,1,2,1-Aug,1,5-Aug,5,31,64,15,10,6,603,19,29,103,6,13,15,18,67
lacunosa_p,lacunosa,L105,2,2,3,1-Aug,1,14-Aug,14,0,23,0,0,0,36,6,2,0,1,21,24,27,
lacunosa_p,lacunosa,L126,2,2,3,1-Aug,1,6-Aug,6,30,46,9,4,1,532,14,32,109,4,14,17,19,
lacunosa_p,lacunosa,L127,2,2,3,1-Aug,1,11-Aug,11,0,32,1,0,0,131,14,29,38,3,17,20,23,
lacunosa_p,lacunosa,L115,3,2,3,1-Aug,1,5-Aug,5,33,121,17,27,38,540,19,29,98,14,12,13,16,
lacunosa_p,lacunosa,L131,3,2,3,2-Aug,2,,,0,20,0,0,0,27,3,1,0,1,22,27,32,
lacunosa_p,lacunosa,L137,3,2,3,1-Aug,1,,,0,0,0,0,0,0,0,0,0,0,,,,
lacunosa_p,lacunosa,L109,4,2,3,1-Aug,1,,,34,61,6,2,0,269,8,5,24,5,14,16,19,65
lacunosa_p,lacunosa,L125,4,2,3,1-Aug,1,5-Aug,5,31,104,15,21,32,849,15,25,110,12,12,14,16,60
lacunosa_p,lacunosa,L134,4,2,3,1-Aug,1,14-Aug,14,45,47,4,3,2,408,4,11,74,6,13,16,19,67
lacunosa_p,lacunosa,L143,4,2,3,1-Aug,1,,,0,38,3,0,0,54,5,3,4,3,17,20,23,
lacunosa_p,lacunosa,L112,5,2,3,1-Aug,1,10-Aug,10,0,29,1,0,0,222,11,24,76,4,17,19,21,
lacunosa_p,lacunosa,L117,5,2,3,1-Aug,1,7-Aug,7,39,107,17,25,23,569,19,39,109,12,12,14,16,
lacunosa_p,lacunosa,L106,6,3,3,1-Aug,1,7-Aug,7,33,71,10,13,13,645,13,24,98,10,12,14,17,
lacunosa_p,lacunosa,L114,6,3,3,1-Aug,1,11-Aug,11,0,27,0,0,0,83,12,16,15,3,18,21,23,
lacunosa_p,lacunosa,L116,6,3,3,1-Aug,1,6-Aug,6,39,107,13,19,34,822,14,23,72,11,11,13,16,
lacunosa_p,lacunosa,L121,6,3,3,1-Aug,1,8-Aug,8,35,87,10,14,18,842,14,21,92,11,12,14,17,
lacunosa_p,lacunosa,L132,6,3,3,1-Aug,1,7-Aug,7,45,142,17,25,44,728,16,26,93,11,11,13,16,
lacunosa_p,lacunosa,L139,6,3,3,1-Aug,1,8-Aug,8,33,90,15,16,16,396,18,23,80,11,12,14,17,
lacunosa_p,lacunosa,L145,6,3,3,1-Aug,1,7-Aug,7,20,81,10,9,5,692,14,27,92,9,13,16,17,
lacunosa_p,lacunosa,L133,7,3,3,1-Aug,1,7-Aug,7,28,56,8,8,5,381,9,12,56,7,12,14,17,
lacunosa_p,lacunosa,L136,7,3,3,1-Aug,1,5-Aug,5,31,276,16,28,91,849,17,28,94,21,10,12,15,
lacunosa_p,lacunosa,L144,7,3,3,1-Aug,1,9-Aug,9,35,114,11,12,41,848,12,14,99,15,11,13,16,
lacunosa_p,lacunosa,L147,7,3,3,1-Aug,1,,,46,66,8,4,6,453,10,9,62,7,11,14,17,
lacunosa_p,lacunosa,L111,8,3,3,1-Aug,1,5-Aug,5,33,267,19,37,105,710,17,38,111,15,11,12,14,
lacunosa_p,lacunosa,L118,8,3,3,1-Aug,1,5-Aug,5,35,338,17,27,104,620,19,24,104,17,10,12,14,
lacunosa_p,lacunosa,L103,9,3,3,1-Aug,1,6-Aug,6,26,122,16,26,35,370,17,33,107,13,12,14,16,
lacunosa_p,lacunosa,L110,9,3,3,1-Aug,1,10-Aug,10,38,144,15,28,41,908,15,32,97,16,12,13,16,
lacunosa_p,lacunosa,L130,9,3,3,1-Aug,1,,,41,59,8,3,1,413,12,12,73,5,15,16,19,
lacunosa_p,lacunosa,L101,10,1,3,1-Aug,1,5-Aug,5,35,77,13,16,11,641,15,32,136,10,12,14,17,
lacunosa_p,lacunosa,L108,10,1,3,1-Aug,1,5-Aug,5,36,63,12,10,4,739,16,25,96,8,13,15,18,
lacunosa_p,lacunosa,L128,10,1,3,1-Aug,1,8-Aug,8,0,43,4,2,1,391,11,19,95,4,15,17,20,
lacunosa_p,lacunosa,L129,10,1,3,1-Aug,1,6-Aug,6,28,68,11,7,3,573,15,29,105,6,13,16,19,
lacunosa_p,lacunosa,L138,10,1,3,1-Aug,1,9-Aug,9,0,49,3,1,0,372,15,39,114,4,16,19,21,
lacunosa_p,lacunosa,L140,10,1,3,1-Aug,1,7-Aug,7,32,52,9,3,1,601,14,32,114,4,14,17,20,
lacunosa_p,lacunosa,L107,11,1,3,1-Aug,1,,,35,73,12,12,9,777,15,27,116,7,12,15,18,
