ID,ID_numeric,Date_measured,Color,Color_numeric,Cyme_length,flowers_per_day,Flowers_buds_on_cymepeduncle, Cor_Length,Cor_tissue_Length, Cor_Width,Anther_stigma_position, Nectar_volume_mm, Style_Length,Sterility,after_noon,Notes
1,1,8/12/2014,p,1,16.6,1,1,24.9,27,16,0,0.5,15.9,,,
1,1,11/12/2014,p,1,22.5,1,1,25.8,29.5,20.2,0,0,15.9,,,
1,1,11/16/2014,p,1,16.3,1,1,26.7,30.9,22.9,0,3,15.7,,,
1,1,11/18/2014,p,1,15.5,1,2,26.8,31.1,21.8,0,3.4,16.1,,,
4,4,7/22/2014,p,1,27,1,1,28,33,24,0,0,18,,,
7,7,7/22/2014,p,1,18,2,1,28,32,19,0,1,16,,,
7,7,9/29/2014,p,1,28.1,1,4,21.2,25.4,19.1,0,0.5,14.2,,,1 shrunken anther
7,7,10/19/2014,p,1,42.2,1,3,24.8,29.1,21.5,0,2.9,16,,,
7,7,11/19/2014,p,1,15,1,3,25.2,29.5,21.6,0,4,15.9,,,
8,8,9/1/2014,p,1,21.6,1,1,27.6,33.3,23.8,0,0,15.6,,,
8,8,10/6/2014,p,1,18.1,3,1,26.6,31.8,24.1,0.5,7.1,18.1,,,
8,8,11/18/2014,p,1,32.6,1,2,27.8,32,24.4,0,2.9,15.4,,,
8,8,11/23/2014,p,1,18.3,1,1,28,33.8,25.5,0,4.3,15.5,,,
8,8,11/25/2014,p,1,16.1,1,1,28.1,33.9,24.3,0,6,15.4,,,
11,11,8/13/2014,p,1,26.4,1,2,29.9,32.8,21.9,0,6.8,16.8,,,
11,11,10/14/2014,p,1,22.8,1,1,30.3,35.2,24.5,0,11.9,16.8,,,
11,11,10/16/2014,p,1,21.8,1,1,30.8,34.6,22.3,0,7.6,16,,,
11,11,10/18/2014,p,1,20.1,1,1,29.1,34.6,25,0,13.2,16.2,,,
11,11,10/31/2014,p,1,16.8,1,1,29.5,33.3,20.7,0,2.4,16.5,,,
12,12,10/4/2014,p,1,28.7,1,1,29.5,32.6,21.8,0,0,17,,,
13,13,7/8/2014,p,1,15,1,1,25,,20,0,0,16,,,
13,13,8/2/2014,p,1,27.8,1,2,28.9,33.3,21.3,0,0,17.3,,,
13,13,8/4/2014,p,1,23.8,1,2,26,31.4,22.4,0,1.5,16.5,,,
14,14,10/14/2014,p,1,15.7,1,1,29.2,33,21.8,0.5,0,18.6,,,
15,15,7/16/2014,p,1,14,1,1,26,,23,0,0,17,,,
15,15,7/20/2014,p,1,18,1,1,24,30,21,0,0.5,17,,,extra pale?
15,15,7/21/2014,p,1,25,2,1,26,31,22,0,2,17,,,
15,15,7/22/2014,p,1,24,1,2,25,30,22,0,0,18,,,
15,15,7/23/2014,p,1,32,1,3,25,28,20,0,0,17,,,
15,15,7/26/2014,p,1,9.8,1,2,24.1,26.8,17,0,0,15.1,,,
15,15,8/4/2014,p,1,17.3,1,2,23,27.1,19.7,0,1.7,16.1,,,
