ID,species,Tray,Germinated,Planted,Leaf 1 open,Leaf 2 open,Leaf 3 open,Top_burnt,Height_mm_day_21,Internode_1_day_21,Internode_2_day_21,Internode_3_day_21,Number_leaves_day_21
C_132,cordatotriloba,1,5/9/2014,5/9/2014,5/17/2014,5/19/2014,5/21/2014,1,382,6,4,17,8
C_133,cordatotriloba,2,5/9/2014,5/9/2014,5/17/2014,5/18/2014,5/20/2014,0,601,5,4,15,9
C_134,cordatotriloba,3,5/9/2014,5/9/2014,5/16/2014,5/18/2014,5/20/2014,1,432,4,4,22,10
C_135,cordatotriloba,4,5/9/2014,5/9/2014,5/16/2014,5/18/2014,5/21/2014,1,456,4,3,17,8
C_136,cordatotriloba,5,5/9/2014,5/9/2014,5/17/2014,5/19/2014,5/21/2014,0,593,5,4,16,8
C_137,cordatotriloba,6,5/9/2014,5/9/2014,5/17/2014,5/18/2014,5/20/2014,0,502,6,5,20,9
C_138,cordatotriloba,8,5/9/2014,5/9/2014,5/17/2014,5/19/2014,5/21/2014,0,479,7,5,18,6
C_139,cordatotriloba,9,5/9/2014,5/9/2014,5/17/2014,5/19/2014,5/21/2014,0,622,6,8,28,10
C_140,cordatotriloba,10,5/9/2014,5/9/2014,5/17/2014,5/18/2014,5/20/2014,1,468,9,16,43,8
C_141,cordatotriloba,11,5/9/2014,5/9/2014,5/17/2014,5/19/2014,5/22/2014,0,446,6,8,28,9
C_142,cordatotriloba,12,5/9/2014,5/9/2014,5/19/2014,5/21/2014,5/23/2014,0,322,8,9,25,5
C_143,cordatotriloba,13,5/9/2014,5/9/2014,5/18/2014,5/20/2014,5/21/2014,0,403,8,8,22,8
C_144,cordatotriloba,14,5/9/2014,5/9/2014,5/17/2014,5/19/2014,5/22/2014,0,424,5,6,20,6
C_145,cordatotriloba,15,5/9/2014,5/9/2014,5/17/2014,5/19/2014,5/21/2014,1,415,6,6,16,9
C_146,cordatotriloba,16,5/9/2014,5/9/2014,5/19/2014,5/21/2014,5/25/2014,0,182,8,4,16,4
C_147,cordatotriloba,17,5/9/2014,5/11/2014,5/20/2014,5/21/2014,5/25/2014,0,363,6,6,15,8
C_148,cordatotriloba,18,5/9/2014,5/11/2014,5/18/2014,5/19/2014,5/21/2014,1,466,8,7,14,11
C_149,cordatotriloba,19,5/9/2014,5/11/2014,5/18/2014,5/19/2014,5/21/2014,1,380,6,6,13,15
C_150,cordatotriloba,20,5/9/2014,5/11/2014,,,,NA,NA,NA,NA,NA,NA
C_151,cordatotriloba,21,5/9/2014,5/11/2014,5/18/2014,5/19/2014,5/22/2014,0,707,5,6,30,11
C_152,cordatotriloba,22,5/9/2014,5/11/2014,5/20/2014,5/21/2014,5/25/2014,0,301,6,9,22,9
C_153,cordatotriloba,23,5/9/2014,5/11/2014,5/19/2014,5/21/2014,5/23/2014,0,514,7,7,24,9
C_154,cordatotriloba,24,5/9/2014,5/11/2014,5/19/2014,5/21/2014,5/23/2014,0,465,9,6,29,8
C_155,cordatotriloba,25,5/9/2014,5/11/2014,,,,NA,NA,NA,NA,NA,NA
