ID,avg number,avg size,samples
15,195.5,69.54264217,2
21,238,72.82066723,1
24,441,77.61129791,2
27,477,74.79271509,1
29,314,77.11242074,2
36,326.5,74.83243682,2
42,372,72.83287661,1
48,426,76.67537418,1
49,261.5,70.69073857,2
51,81,66.44227314,2
52,270,72.32431441,2
58,162.5,67.39938666,2
59,226.3333333,71.53049263,3
71,111,72.97919099,1
74,305,70.80471975,2
84,321,66.99915979,2
86,277,71.22211399,2
88,345,70.44719188,1
121,272,69.27656447,2
126,53,69.84222642,1
128,90,64.7043675,2
130,141.5,68.97767097,2
144,138.5,68.00835888,2
151,202.5,70.38160174,2
163,292.5,69.43550509,2
165,335.5,69.13096469,2
166,407,71.82309399,2
180,71,70.54909577,1
182,364.5,72.44657622,2
183,218,70.00049594,2
186,210,72.86195316,2
188,203.5,68.25608774,2
189,31.5,63.40015211,2
196,37.5,65.96685227,2
197,94,68.86049699,2
198,105.5,67.23186217,2
199,7,64.12671429,1
202,257,69.97345117,2
207,65,68.26579391,2
209,326,68.92077393,1
214,73,68.25784429,2
218,88,66.32807373,2
222,88,64.95240806,2
247,161,69.02638567,2
250,91,68.88967033,1
274,408.5,69.23715189,2
276,250.5,69.58342898,2
280,210,68.97095238,1
284,136,68.47258403,2
286,81.5,67.49400876,2
287,104,63.86340677,2
288,309.5,72.51916855,2
292,331.5,70.52126982,2
305,111.5,66.41541078,2
331,159,69.50148176,1
340,102,66.74238686,2
360,166,71.0213,1
375,159,66.27860676,2
383,191,68.10180209,1
408,19,62.04000812,2
431,155,66.67005119,2
432,103.5,69.02109046,2
437,90,66.30307697,2
439,134,67.65005746,1
442,203,70.03235369,1
456,113.5,67.07827199,2
490,250.5,67.45627171,2
492,323,69.36067771,1
506,423,71.68780518,2
CAA,706,81.2924981,3
CL5,323.5,71.84775384,2
LPR,140,69.53723455,2
