Date,ID,Aliquot_1,Aliquot_2,Mean_aliquots
16-Oct,15,42,34,38
15-Oct,15,37,44,40.5
1-Oct,21,5,3,4
15-Oct,21,6,9,7.5
16-Oct,24,107,97,102
16-Oct,24,108,118,113
1-Oct,27,74,77,75.5
16-Oct,27,79,80,79.5
4-Nov,29,106,138,122
16-Oct,29,116,175,145.5
11-Nov,33,122,100,111
18-Nov,33,107,121,114
3-Dec,36,96,97,96.5
10-Nov,36,105,101,103
22-Oct,42,168,147,157.5
22-Oct,42,144,172,158
21-Oct,48,188,66,127
5-Nov,48,109,147,128
15-Oct,49,202,191,196.5
1-Oct,49,205,191,198
3-Nov,50,105,101,103
3-Dec,50,110,107,108.5
15-Oct,51,47,43,45
16-Sep,51,44,49,46.5
1-Oct,52,7,12,9.5
15-Oct,52,14,8,11
4-Nov,55,104,100,102
15-Oct,58,62,56,59
15-Oct,59,30,38,34
3-Dec,63,42,44,43
3-Dec,66,9,4,6.5
30-Mar,66,,,
18-Nov,70,121,117,119
19-Nov,70,115,123,119
30-Mar,71,67,75,71
22-Oct,74,46,41,43.5
5-Nov,74,45,43,44
3-Dec,84,113,105,109
3-Dec,84,112,110,111
22-Oct,86,7,8,7.5
15-Oct,86,10,26,18
19-Nov,88,28,17,22.5
5-Dec,88,28,19,23.5
3-Dec,94,74,86,80
3-Dec,94,82,92,87
15-Oct,106,103,94,98.5
15-Oct,106,107,95,101
3-Nov,121,71,70,70.5
5-Dec,121,82,65,73.5
16-Sep,128,23,17,20
15-Oct,128,30,28,29
4-Dec,134,,,0
4-Dec,137,90,85,87.5
5-Dec,138,66,74,70
5-Dec,138,71,71,71
4-Dec,139,33,32,32.5
21-Oct,139,36,35,35.5
14-Nov,144,155,153,154
30-Mar,144,,,
4-Dec,151,92,104,98
19-Nov,153,95,93,94
19-Nov,153,196,23,109.5
7-Nov,154,42,65,53.5
19-Nov,154,38,80,59
3-Nov,155,141,153,147
10-Nov,155,164,158,161
18-Nov,158,140,150,145
11-Nov,158,144,150,147
21-Oct,163,55,33,44
4-Nov,163,201,191,196
4-Nov,165,50,129,89.5
3-Nov,165,51,135,93
1-Oct,166,44,51,47.5
25-Sep,166,47,49,48
3-Dec,176,140,132,136
10-Nov,176,149,153,151
29-Sep,180,141,148,144.5
29-Sep,180,157,149,153
14-Oct,182,88,86,87
15-Oct,183,115,76,95.5
7-Sep,183,87,131,109
18-Nov,184,32,44,38
4-Dec,184,38,50,44
4-Dec,185,74,84,79
18-Nov,185,71,90,80.5
22-Oct,188,190,204,197
22-Oct,188,205,206,205.5
16-Sep,192,15,14,14.5
15-Oct,192,29,3,16
1-Oct,193,1,4,2.5
22-Oct,195,55,64,59.5
3-Dec,195,60,61,60.5
5-Nov,196,47,56,51.5
5-Nov,196,49,59,54
29-Sep,197,62,61,61.5
