marker,chr,pos
Super-Scaffold_100013_12746748,1,0
Super-Scaffold_100013_12691319,1,0.1265
Super-Scaffold_100013_12660388,1,0.507
Super-Scaffold_100013_12660182,1,0.507
Super-Scaffold_100013_12657133,1,0.76
Super-Scaffold_100013_12657122,1,0.76
Super-Scaffold_100013_12657095,1,0.76
Super-Scaffold_100013_12657088,1,0.76
Super-Scaffold_100013_12657087,1,0.76
Super-Scaffold_100013_12637655,1,1.014
Super-Scaffold_100013_12583481,1,1.267
Super-Scaffold_100013_12572361,1,1.267
Super-Scaffold_100013_12491046,1,1.3935
Super-Scaffold_100013_12482149,1,1.3935
Super-Scaffold_100013_12357029,1,1.3935
Super-Scaffold_100013_12301740,1,1.3935
Super-Scaffold_100013_12301699,1,1.3935
Super-Scaffold_100013_12156016,1,1.7755
Super-Scaffold_100013_12129064,1,2.0295
Super-Scaffold_100013_12128971,1,2.0295
Super-Scaffold_100013_11962902,1,2.5375
Super-Scaffold_100013_11962330,1,2.5375
Super-Scaffold_100013_11924064,1,2.5375
Super-Scaffold_100013_11903110,1,2.5375
Super-Scaffold_100013_11871080,1,2.5375
Super-Scaffold_100013_11852892,1,2.7915
Super-Scaffold_100013_11706417,1,3.683
Super-Scaffold_100013_11706406,1,3.683
Super-Scaffold_100013_11706404,1,3.683
Super-Scaffold_100013_11682652,1,3.8095
Super-Scaffold_100013_11682631,1,3.8095
Super-Scaffold_100013_11628941,1,3.936
Super-Scaffold_100013_11628760,1,3.936
Super-Scaffold_100013_11555214,1,4.0625
Super-Scaffold_100013_11554261,1,4.0625
Super-Scaffold_100013_11554254,1,4.0625
Super-Scaffold_100013_11554103,1,4.0625
Super-Scaffold_100013_11554089,1,4.0625
Super-Scaffold_100013_11554086,1,4.0625
Super-Scaffold_100013_11512278,1,4.3165
Super-Scaffold_100013_11501154,1,4.3165
Super-Scaffold_100013_11501065,1,4.3165
Super-Scaffold_100013_11494881,1,4.3165
Super-Scaffold_100013_11433880,1,4.8245
Super-Scaffold_100013_11335083,1,5.8445
Super-Scaffold_100013_11331470,1,5.8445
Super-Scaffold_100013_11234257,1,6.2255
Super-Scaffold_100013_11171936,1,6.8605
Super-Scaffold_100013_11136990,1,7.6245
Super-Scaffold_100013_11094751,1,7.878
Super-Scaffold_100013_11013406,1,8.1315
Super-Scaffold_100013_10961880,1,8.7675
Super-Scaffold_100013_10961857,1,8.7675
Super-Scaffold_100013_10961853,1,8.7675
Super-Scaffold_100013_10961743,1,8.7675
Super-Scaffold_100013_10961735,1,8.7675
Super-Scaffold_100013_10780287,1,9.66
Super-Scaffold_100013_10683867,1,10.042
Super-Scaffold_100013_10683400,1,10.1685
Super-Scaffold_100013_10677527,1,10.1685
Super-Scaffold_100013_10585078,1,10.8045
Super-Scaffold_100013_10235361,1,14.507
Super-Scaffold_100013_10235280,1,14.507
Super-Scaffold_100013_9960917,1,15.6565
Super-Scaffold_100013_9875712,1,16.037
Super-Scaffold_100013_9875280,1,16.1635
Super-Scaffold_100013_9523064,1,18.6265
Super-Scaffold_100013_9523049,1,18.6265
Super-Scaffold_100013_9523048,1,18.6265
Super-Scaffold_100013_9523031,1,18.6265
Super-Scaffold_100013_9508117,1,18.6265
Super-Scaffold_100013_9500578,1,18.8795
Super-Scaffold_100013_9481179,1,19.26
Super-Scaffold_100013_9481159,1,19.26
Super-Scaffold_100013_9422945,1,19.7685
Super-Scaffold_100013_9410242,1,20.276
Super-Scaffold_100013_9410156,1,20.276
Super-Scaffold_100013_9410049,1,20.276
Super-Scaffold_100013_9381947,1,20.276
Super-Scaffold_100013_9124259,1,22.2085
Super-Scaffold_100013_9124159,1,22.2085
Super-Scaffold_100013_8770999,1,24.4035
Super-Scaffold_100013_7964651,1,27.8105
Super-Scaffold_100013_7939177,1,28.4465
Super-Scaffold_100013_7607426,1,29.742
Super-Scaffold_100013_7519097,1,29.8685
Super-Scaffold_100013_7519092,1,29.8685
Super-Scaffold_100013_7519086,1,29.8685
Super-Scaffold_100013_7476489,1,29.995
Super-Scaffold_100013_7440977,1,30.249
Super-Scaffold_100013_7440602,1,30.3755
Super-Scaffold_100013_7416023,1,30.629
Super-Scaffold_100013_7065838,1,31.522
Super-Scaffold_100013_7057171,1,31.522
Super-Scaffold_100013_7057141,1,31.522
Super-Scaffold_100013_7057092,1,31.522
Super-Scaffold_100013_6996064,1,31.776
Super-Scaffold_100013_6838574,1,32.6675
Super-Scaffold_100013_6838199,1,32.6675
Super-Scaffold_100013_6742534,1,34.607
Super-Scaffold_100013_6742497,1,34.7335
Super-Scaffold_100013_6742485,1,34.7335
Super-Scaffold_100013_6742414,1,34.7335
Super-Scaffold_100013_6742381,1,34.7335
Super-Scaffold_100013_6635848,1,36.802
Super-Scaffold_100013_6614680,1,36.9285
Super-Scaffold_100013_6501309,1,37.182
Super-Scaffold_100013_6378768,1,38.0745
Super-Scaffold_100013_6332184,1,38.5825
Super-Scaffold_100013_6316780,1,39.0905
Super-Scaffold_100013_6156291,1,39.4725
Super-Scaffold_100013_6156120,1,39.599
Super-Scaffold_100013_6123633,1,39.8525
Super-Scaffold_100013_6097406,1,40.619
Super-Scaffold_100013_6097253,1,40.619
Super-Scaffold_100013_6097235,1,40.619
Super-Scaffold_100013_6097227,1,40.619
Super-Scaffold_100013_5754845,1,42.681
Super-Scaffold_100013_5754797,1,43.061
Super-Scaffold_100013_5633757,1,43.315
Super-Scaffold_100013_5630500,1,43.5685
Super-Scaffold_100013_5607827,1,43.95
Super-Scaffold_100013_5556169,1,44.46
Super-Scaffold_100013_5396298,1,45.352
Super-Scaffold_100013_5372276,1,45.7325
Super-Scaffold_100013_5288439,1,46.4955
Super-Scaffold_100013_5195520,1,47.135
Super-Scaffold_100013_5195508,1,47.135
Super-Scaffold_100013_5195501,1,47.135
Super-Scaffold_100013_5195447,1,47.135
Super-Scaffold_100013_5195441,1,47.135
Super-Scaffold_100013_5079289,1,47.2615
Super-Scaffold_100013_5006899,1,47.5155
Super-Scaffold_100013_5006862,1,47.5155
Super-Scaffold_100013_5006857,1,47.5155
Super-Scaffold_100013_5006749,1,47.5155
Super-Scaffold_100013_5006724,1,47.5155
Super-Scaffold_100013_4945737,1,47.896
Super-Scaffold_100013_4945613,1,48.023
Super-Scaffold_100013_4943092,1,48.792
Super-Scaffold_100013_4837373,1,49.429
Super-Scaffold_100013_4595671,1,50.322
Super-Scaffold_100013_4595115,1,50.4485
Super-Scaffold_100013_4439669,1,51.857
Super-Scaffold_100013_4437419,1,51.857
Super-Scaffold_100013_4380617,1,51.9835
Super-Scaffold_100013_4380613,1,51.9835
Super-Scaffold_100013_4175378,1,52.3645
Super-Scaffold_100013_4004522,1,52.9995
Super-Scaffold_100013_3938513,1,53.3815
Super-Scaffold_100013_3938405,1,53.3815
Super-Scaffold_100013_3938381,1,53.3815
Super-Scaffold_100013_3893554,1,53.7635
Super-Scaffold_100013_3877127,1,54.1435
Super-Scaffold_100013_3745384,1,54.524
Super-Scaffold_100013_3650158,1,55.287
Super-Scaffold_100013_3650147,1,55.287
Super-Scaffold_100013_3650146,1,55.287
Super-Scaffold_100013_3650143,1,55.287
Super-Scaffold_100013_3430795,1,56.8265
Super-Scaffold_100013_3421047,1,57.0795
Super-Scaffold_100013_3228735,1,57.588
Super-Scaffold_100013_2854889,1,58.998
Super-Scaffold_100013_2746910,1,59.5055
Super-Scaffold_100013_2727378,1,59.759
Super-Scaffold_100013_2727366,1,59.759
Super-Scaffold_100013_2621730,1,60.141
Super-Scaffold_100013_2599248,1,60.141
Super-Scaffold_100013_2599239,1,60.141
Super-Scaffold_100013_2576889,1,60.6485
Super-Scaffold_100013_2515420,1,61.2845
Super-Scaffold_100013_2514952,1,61.2845
Super-Scaffold_100013_2460683,1,61.2845
Super-Scaffold_100013_2342070,1,61.7915
Super-Scaffold_100013_2302365,1,61.9185
Super-Scaffold_100013_2282066,1,62.1715
Super-Scaffold_100013_2225053,1,63.193
Super-Scaffold_100013_2225045,1,63.193
Super-Scaffold_100013_2225043,1,63.193
Super-Scaffold_100013_2225041,1,63.193
Super-Scaffold_100013_2224847,1,63.193
Super-Scaffold_100013_2156592,1,68.651
Super-Scaffold_100013_2156558,1,68.651
Super-Scaffold_100013_2156557,1,68.651
Super-Scaffold_100013_2156550,1,68.651
Super-Scaffold_100013_2156521,1,68.651
Super-Scaffold_100013_2156514,1,68.651
Super-Scaffold_100013_2156512,1,68.651
Super-Scaffold_100013_2156508,1,68.651
Super-Scaffold_100013_2156346,1,73.003
Super-Scaffold_100013_2156330,1,73.256
Super-Scaffold_100013_2156318,1,73.3825
Super-Scaffold_100013_2156241,1,73.3825
Super-Scaffold_100013_1697194,1,74.9235
Super-Scaffold_100013_1697032,1,74.9235
Super-Scaffold_100013_1684260,1,75.1775
Super-Scaffold_100013_1684210,1,75.1775
Super-Scaffold_100013_1684081,1,75.1775
Super-Scaffold_100013_1684071,1,75.1775
Super-Scaffold_100013_1642708,1,77.393
Super-Scaffold_100013_1642667,1,77.393
Super-Scaffold_100013_1642658,1,77.393
Super-Scaffold_100013_1642520,1,78.2845
Super-Scaffold_100013_1642263,1,78.2845
Super-Scaffold_100013_1642242,1,78.2845
Super-Scaffold_100013_1642205,1,78.2845
Super-Scaffold_100013_1633419,1,80.6105
Super-Scaffold_100013_1603746,1,80.6105
Super-Scaffold_100013_1583294,1,80.6105
Super-Scaffold_100013_1551000,1,80.737
Super-Scaffold_100013_1470858,1,81.5015
Super-Scaffold_100013_1161489,1,82.918
Super-Scaffold_100013_771638,1,83.682
Super-Scaffold_100013_771513,1,83.8085
Super-Scaffold_100013_771510,1,83.935
Super-Scaffold_100013_514252,1,85.485
Super-Scaffold_100013_514240,1,85.485
Super-Scaffold_100013_514219,1,85.6115
Super-Scaffold_100013_514207,1,85.6115
Super-Scaffold_100013_514155,1,85.6115
Super-Scaffold_100013_514129,1,85.6115
Super-Scaffold_100013_514085,1,85.738
Super-Scaffold_100013_514078,1,85.738
Super-Scaffold_100013_514067,1,85.738
Super-Scaffold_100013_514028,1,85.738
Super-Scaffold_100013_343637,1,88.3465
Super-Scaffold_100013_343530,1,88.473
Super-Scaffold_100013_322182,1,88.854
Super-Scaffold_100013_307018,1,88.9805
Super-Scaffold_100013_214533,1,89.2345
Super-Scaffold_100013_214532,1,89.361
Super-Scaffold_100013_214503,1,89.361
Super-Scaffold_100013_214316,1,89.361
Super-Scaffold_100013_98277,1,89.4875
Super-Scaffold_100029_6347785,1,89.7405
Super-Scaffold_100029_6163605,1,90.2485
Super-Scaffold_100029_5853349,1,91.919
Super-Scaffold_100029_5834965,1,91.919
Super-Scaffold_100029_5808898,1,92.1725
Super-Scaffold_100029_5808887,1,92.1725
Super-Scaffold_100029_5808742,1,92.1725
Super-Scaffold_100029_5267552,1,93.972
Super-Scaffold_100029_3309529,1,97.512
Super-Scaffold_100029_2733046,1,97.8935
Super-Scaffold_100029_2732961,1,97.8935
Super-Scaffold_100029_2568901,1,98.274
Super-Scaffold_100029_2384888,1,98.527
Super-Scaffold_100029_2384871,1,98.527
Super-Scaffold_100029_2038869,1,99.164
Super-Scaffold_100029_2038849,1,99.164
Super-Scaffold_100029_2038651,1,99.164
Super-Scaffold_100029_2038647,1,99.164
Super-Scaffold_100029_1979421,1,99.7995
Super-Scaffold_100029_1979249,1,99.7995
Super-Scaffold_100029_1979181,1,99.7995
Super-Scaffold_100029_1850999,1,100.053
Super-Scaffold_100029_1643277,1,100.053
Super-Scaffold_100029_1643012,1,100.053
Super-Scaffold_100029_1557323,1,100.1795
Super-Scaffold_100029_1557296,1,100.1795
Super-Scaffold_100029_1516933,1,100.1795
Super-Scaffold_100029_1438592,1,100.1795
Super-Scaffold_100029_1438589,1,100.1795
Super-Scaffold_100029_1438519,1,100.1795
Super-Scaffold_100029_993924,1,100.1795
Super-Scaffold_100029_721323,1,100.1795
Super-Scaffold_100029_646821,1,100.1795
Super-Scaffold_100029_628676,1,100.1795
Super-Scaffold_100029_433888,1,100.1795
Super-Scaffold_100029_372241,1,100.1795
Super-Scaffold_100029_114423,1,100.306
Super-Scaffold_100029_114382,1,100.306
Super-Scaffold_100053_90172,1,100.306
Super-Scaffold_100053_87818,1,100.306
Super-Scaffold_100094_3149531,1,100.306
Super-Scaffold_100094_2991001,1,100.306
Super-Scaffold_100094_2986088,1,100.4325
Super-Scaffold_100094_2901971,1,100.4325
Super-Scaffold_100094_2901920,1,100.4325
Super-Scaffold_100094_2901908,1,100.4325
Super-Scaffold_100094_2886600,1,100.559
Super-Scaffold_100094_2186408,1,101.322
Super-Scaffold_100094_1738047,1,101.5755
